"Time","latency"
2023-10-16 18:59:31,121234
2023-10-16 18:59:32,117848
2023-10-16 18:59:33,120043
2023-10-16 18:59:34,118852
2023-10-16 18:59:35,119493
2023-10-16 18:59:36,118668
2023-10-16 18:59:37,118633
2023-10-16 18:59:38,118934
2023-10-16 18:59:39,118263
2023-10-16 18:59:40,119847
2023-10-16 18:59:41,118513
2023-10-16 18:59:42,119269
2023-10-16 18:59:43,118770
2023-10-16 18:59:44,118416
2023-10-16 18:59:45,118379
2023-10-16 18:59:46,118709
2023-10-16 18:59:47,118408
2023-10-16 18:59:48,119108
2023-10-16 18:59:49,119188
2023-10-16 18:59:50,118097
2023-10-16 18:59:51,118342
2023-10-16 18:59:52,118480
2023-10-16 18:59:53,118620
2023-10-16 18:59:54,118704
2023-10-16 18:59:55,119648
2023-10-16 18:59:56,118315
2023-10-16 18:59:57,118668
2023-10-16 18:59:58,118402
2023-10-16 18:59:59,119107
2023-10-16 19:00:00,118563
2023-10-16 19:00:01,118783
2023-10-16 19:00:02,118238
2023-10-16 19:00:03,118131
2023-10-16 19:00:04,118471
2023-10-16 19:00:05,118662
2023-10-16 19:00:06,118665
2023-10-16 19:00:07,118733
2023-10-16 19:00:08,118618
2023-10-16 19:00:09,118544
2023-10-16 19:00:10,118769
2023-10-16 19:00:11,118650
2023-10-16 19:00:12,118351
2023-10-16 19:00:13,117830
2023-10-16 19:00:14,118145
2023-10-16 19:00:15,118364
2023-10-16 19:00:16,118208
2023-10-16 19:00:17,118587
2023-10-16 19:00:18,118986
2023-10-16 19:00:19,118557
2023-10-16 19:00:20,118672
2023-10-16 19:00:21,118199
2023-10-16 19:00:22,118426
2023-10-16 19:00:23,118633
2023-10-16 19:00:24,118765
2023-10-16 19:00:25,118301
2023-10-16 19:00:26,117845
2023-10-16 19:00:27,118601
2023-10-16 19:00:28,118718
2023-10-16 19:00:29,119489
2023-10-16 19:00:30,118750
2023-10-16 19:00:31,119385
2023-10-16 19:00:32,120368
2023-10-16 19:00:33,120061
2023-10-16 19:00:34,120985
2023-10-16 19:00:35,120466
2023-10-16 19:00:36,119746
2023-10-16 19:00:37,119712
2023-10-16 19:00:38,120376
2023-10-16 19:00:39,120132
2023-10-16 19:00:40,120351
2023-10-16 19:00:41,120018
2023-10-16 19:00:42,119606
2023-10-16 19:00:43,119581
2023-10-16 19:00:44,119485
2023-10-16 19:00:45,119535
2023-10-16 19:00:46,120241
2023-10-16 19:00:47,120154
2023-10-16 19:00:48,119002
2023-10-16 19:00:49,118834
2023-10-16 19:00:51,120060
2023-10-16 19:00:52,120071
2023-10-16 19:00:53,119825
2023-10-16 19:00:54,119231
2023-10-16 19:00:55,118883
2023-10-16 19:00:56,119820
2023-10-16 19:00:57,119865
2023-10-16 19:00:58,120135
2023-10-16 19:00:59,120392
2023-10-16 19:01:00,120131
2023-10-16 19:01:01,119622
2023-10-16 19:01:02,119225
2023-10-16 19:01:03,119198
2023-10-16 19:01:04,119711
2023-10-16 19:01:05,119420
2023-10-16 19:01:06,120170
2023-10-16 19:01:07,120799
2023-10-16 19:01:08,120210
2023-10-16 19:01:09,120177
2023-10-16 19:01:10,120195
2023-10-16 19:01:11,120260
2023-10-16 19:01:12,120342
2023-10-16 19:01:13,120301
2023-10-16 19:01:14,120173
2023-10-16 19:01:15,120203
2023-10-16 19:01:16,120097
2023-10-16 19:01:17,120360
2023-10-16 19:01:18,120375
2023-10-16 19:01:19,120284
2023-10-16 19:01:20,120051
2023-10-16 19:01:21,119993
2023-10-16 19:01:22,120192
2023-10-16 19:01:23,120441
2023-10-16 19:01:24,120907
2023-10-16 19:01:25,119638
2023-10-16 19:01:26,119089
2023-10-16 19:01:27,119059
2023-10-16 19:01:28,119217
2023-10-16 19:01:29,119193
2023-10-16 19:01:30,119170
2023-10-16 19:01:31,119814
2023-10-16 19:01:32,118800
2023-10-16 19:01:33,118884
2023-10-16 19:01:34,119297
2023-10-16 19:01:35,120198
2023-10-16 19:01:36,119494
2023-10-16 19:01:37,119517
2023-10-16 19:01:38,118938
2023-10-16 19:01:39,119224
2023-10-16 19:01:40,118862
2023-10-16 19:01:41,119205
2023-10-16 19:01:42,119704
2023-10-16 19:01:43,119267
2023-10-16 19:01:44,119043
2023-10-16 19:01:45,118780
2023-10-16 19:01:46,118863
2023-10-16 19:01:47,118851
2023-10-16 19:01:48,118975
2023-10-16 19:01:49,119495
2023-10-16 19:01:50,119407
2023-10-16 19:01:51,119786
2023-10-16 19:01:52,119853
2023-10-16 19:01:53,119645
2023-10-16 19:01:54,119709
2023-10-16 19:01:55,119580
2023-10-16 19:01:56,119720
2023-10-16 19:01:57,119677
2023-10-16 19:01:58,119635
2023-10-16 19:01:59,119623
2023-10-16 19:02:00,120343
2023-10-16 19:02:01,120020
2023-10-16 19:02:02,119850
2023-10-16 19:02:03,119802
2023-10-16 19:02:04,120110
2023-10-16 19:02:05,120201
2023-10-16 19:02:06,119857
2023-10-16 19:02:07,119837
2023-10-16 19:02:08,120062
2023-10-16 19:02:09,120306
2023-10-16 19:02:10,119988
2023-10-16 19:02:11,120635
2023-10-16 19:02:12,120581
2023-10-16 19:02:13,119750
2023-10-16 19:02:14,119101
2023-10-16 19:02:15,119326
2023-10-16 19:02:16,119649
2023-10-16 19:02:17,119567
2023-10-16 19:02:18,120369
2023-10-16 19:02:19,119842
2023-10-16 19:02:20,119125
2023-10-16 19:02:21,119165
2023-10-16 19:02:22,119428
2023-10-16 19:02:23,119702
2023-10-16 19:02:24,119168
2023-10-16 19:02:25,120231
2023-10-16 19:02:26,120393
2023-10-16 19:02:27,119974
2023-10-16 19:02:28,120227
2023-10-16 19:02:29,120193
2023-10-16 19:02:30,119856
2023-10-16 19:02:31,120040
2023-10-16 19:02:32,120155
2023-10-16 19:02:33,120232
2023-10-16 19:02:34,120213
2023-10-16 19:02:35,119224
2023-10-16 19:02:36,119193
2023-10-16 19:02:37,120021
2023-10-16 19:02:38,120393
2023-10-16 19:02:39,119985
2023-10-16 19:02:40,119061
2023-10-16 19:02:41,119195
2023-10-16 19:02:42,118996
2023-10-16 19:02:43,118973
2023-10-16 19:02:44,120078
2023-10-16 19:02:45,120222
2023-10-16 19:02:46,120352
2023-10-16 19:02:47,120102
2023-10-16 19:02:48,119353
2023-10-16 19:02:49,119475
2023-10-16 19:02:50,119279
2023-10-16 19:02:51,119292
2023-10-16 19:02:52,119537
2023-10-16 19:02:53,119421
2023-10-16 19:02:54,119668
2023-10-16 19:02:55,120212
2023-10-16 19:02:56,119968
2023-10-16 19:02:57,120206
2023-10-16 19:02:58,120309
2023-10-16 19:02:59,119936
2023-10-16 19:03:00,119816
2023-10-16 19:03:01,120295
2023-10-16 19:03:02,120106
2023-10-16 19:03:05,119557
2023-10-16 19:03:06,120345
2023-10-16 19:03:07,120025
2023-10-16 19:03:08,119842
2023-10-16 19:03:09,119703
2023-10-16 19:03:10,119853
2023-10-16 19:03:11,119879
2023-10-16 19:03:12,119502
2023-10-16 19:03:13,119353
2023-10-16 19:03:14,119205
2023-10-16 19:03:15,119290
2023-10-16 19:03:16,120398
2023-10-16 19:03:17,119839
2023-10-16 19:03:18,121770
2023-10-16 19:03:19,119648
2023-10-16 19:03:20,119501
2023-10-16 19:03:21,119645
2023-10-16 19:03:22,119216
2023-10-16 19:03:23,119236
2023-10-16 19:03:24,119290
2023-10-16 19:03:25,119727
2023-10-16 19:03:26,119975
2023-10-16 19:03:27,120232
2023-10-16 19:03:28,120876
2023-10-16 19:03:29,120495
2023-10-16 19:03:30,120050
2023-10-16 19:03:31,119589
2023-10-16 19:03:32,120810
2023-10-16 19:03:33,121069
2023-10-16 19:03:34,120889
2023-10-16 19:03:35,120898
2023-10-16 19:03:36,121856
2023-10-16 19:03:37,120486
2023-10-16 19:03:38,122462
2023-10-16 19:03:39,120674
2023-10-16 19:03:40,121037
2023-10-16 19:03:41,121993
2023-10-16 19:03:42,121200
2023-10-16 19:03:43,121247
2023-10-16 19:03:44,122004
2023-10-16 19:03:45,121051
2023-10-16 19:03:46,121510
2023-10-16 19:03:47,121285
2023-10-16 19:03:48,121592
2023-10-16 19:03:49,121868
2023-10-16 19:03:52,121836
2023-10-16 19:03:53,120658
2023-10-16 19:03:54,120872
2023-10-16 19:03:55,120953
2023-10-16 19:03:56,121462
2023-10-16 19:03:57,121437
2023-10-16 19:03:58,121591
2023-10-16 19:03:59,121440
2023-10-16 19:04:00,121284
2023-10-16 19:04:01,122972
2023-10-16 19:04:02,124241
2023-10-16 19:04:03,124351
2023-10-16 19:04:04,124900
2023-10-16 19:04:05,123603
2023-10-16 19:04:06,123685
2023-10-16 19:04:07,124389
2023-10-16 19:04:08,123872
2023-10-16 19:04:09,125030
