"Time","latency"
2023-10-16 19:57:04.000,193962
2023-10-16 19:57:05.000,149112
2023-10-16 19:57:06.000,145099
2023-10-16 19:57:07.000,143149
2023-10-16 19:57:08.000,141093
2023-10-16 19:57:09.000,141860
2023-10-16 19:57:10.000,146180
2023-10-16 19:57:11.000,148383
2023-10-16 19:57:12.000,142523
2023-10-16 19:57:13.000,139711
2023-10-16 19:57:14.000,139446
2023-10-16 19:57:15.000,146414
2023-10-16 19:57:16.000,142927
2023-10-16 19:57:17.000,142763
2023-10-16 19:57:18.000,149521
2023-10-16 19:57:19.000,141621
2023-10-16 19:57:20.000,140267
2023-10-16 19:57:21.000,143885
2023-10-16 19:57:22.000,144476
2023-10-16 19:57:23.000,145970
2023-10-16 19:57:24.000,142869
2023-10-16 19:57:25.000,141055
2023-10-16 19:57:26.000,152926
2023-10-16 19:57:27.000,145067
2023-10-16 19:57:28.000,148119
2023-10-16 19:57:29.000,147992
2023-10-16 19:57:30.000,146509
2023-10-16 19:57:31.000,146473
2023-10-16 19:57:32.000,146966
2023-10-16 19:57:33.000,144216
2023-10-16 19:57:34.000,398117
2023-10-16 19:57:35.000,3586133
2023-10-16 19:57:36.000,4263420
2023-10-16 19:57:37.000,3765694
2023-10-16 19:57:38.000,3274940
2023-10-16 19:57:39.000,2751759
2023-10-16 19:57:40.000,2257234
2023-10-16 19:57:41.000,1770920
2023-10-16 19:57:42.000,1257184
2023-10-16 19:57:43.000,774579
2023-10-16 19:57:44.000,284079
2023-10-16 19:57:45.000,140653
2023-10-16 19:57:46.000,139193
2023-10-16 19:57:47.000,140689
2023-10-16 19:57:48.000,143072
2023-10-16 19:57:49.000,141787
2023-10-16 19:57:50.000,141628
2023-10-16 19:57:51.000,141007
2023-10-16 19:57:52.000,142288
2023-10-16 19:57:53.000,140652
2023-10-16 19:57:54.000,146288
2023-10-16 19:57:55.000,139741
2023-10-16 19:57:56.000,144664
2023-10-16 19:57:57.000,143110
2023-10-16 19:57:58.000,145018
2023-10-16 19:57:59.000,142182
2023-10-16 19:58:00.000,143048
2023-10-16 19:58:01.000,138269
