"Time","latency"
2023-10-16 20:15:34.000,160025
2023-10-16 20:15:35.000,142858
2023-10-16 20:15:36.000,144147
2023-10-16 20:15:37.000,144165
2023-10-16 20:15:38.000,144667
2023-10-16 20:15:39.000,143863
2023-10-16 20:15:40.000,150259
2023-10-16 20:15:41.000,146317
2023-10-16 20:15:42.000,140654
2023-10-16 20:15:43.000,145591
2023-10-16 20:15:44.000,141540
2023-10-16 20:15:45.000,146791
2023-10-16 20:15:46.000,143621
2023-10-16 20:15:47.000,142690
2023-10-16 20:15:48.000,143308
2023-10-16 20:15:49.000,141913
2023-10-16 20:15:50.000,140909
2023-10-16 20:15:51.000,147796
2023-10-16 20:15:52.000,146854
2023-10-16 20:15:53.000,139143
2023-10-16 20:15:54.000,143439
2023-10-16 20:15:55.000,144136
2023-10-16 20:15:56.000,143941
2023-10-16 20:15:57.000,141510
2023-10-16 20:15:58.000,139927
2023-10-16 20:15:59.000,142895
2023-10-16 20:16:00.000,146429
2023-10-16 20:16:01.000,145807
2023-10-16 20:16:02.000,144812
2023-10-16 20:16:03.000,140334
2023-10-16 20:16:04.000,840990
2023-10-16 20:16:05.000,4142631
2023-10-16 20:16:06.000,4162740
2023-10-16 20:16:07.000,3543605
2023-10-16 20:16:08.000,3136286
2023-10-16 20:16:09.000,2643336
2023-10-16 20:16:10.000,2139662
2023-10-16 20:16:11.000,1646487
2023-10-16 20:16:12.000,1130913
2023-10-16 20:16:13.000,638914
2023-10-16 20:16:14.000,206492
2023-10-16 20:16:15.000,146443
2023-10-16 20:16:16.000,142822
2023-10-16 20:16:17.000,139018
2023-10-16 20:16:18.000,140013
2023-10-16 20:16:19.000,148943
2023-10-16 20:16:20.000,146003
2023-10-16 20:16:21.000,151437
2023-10-16 20:16:22.000,141795
2023-10-16 20:16:23.000,145725
2023-10-16 20:16:24.000,139408
2023-10-16 20:16:25.000,137330
2023-10-16 20:16:26.000,143432
2023-10-16 20:16:27.000,139089
2023-10-16 20:16:28.000,144687
2023-10-16 20:16:29.000,141046
2023-10-16 20:16:30.000,139871
2023-10-16 20:16:31.000,146376
