"Time","latency"
2023-10-16 20:18:04.000,160439
2023-10-16 20:18:05.000,140484
2023-10-16 20:18:06.000,142517
2023-10-16 20:18:07.000,142129
2023-10-16 20:18:08.000,143202
2023-10-16 20:18:09.000,140133
2023-10-16 20:18:10.000,147973
2023-10-16 20:18:11.000,143361
2023-10-16 20:18:12.000,144931
2023-10-16 20:18:13.000,134959
2023-10-16 20:18:14.000,144520
2023-10-16 20:18:15.000,146629
2023-10-16 20:18:16.000,143574
2023-10-16 20:18:17.000,148084
2023-10-16 20:18:18.000,144821
2023-10-16 20:18:19.000,141668
2023-10-16 20:18:20.000,140734
2023-10-16 20:18:21.000,143320
2023-10-16 20:18:22.000,141114
2023-10-16 20:18:23.000,138242
2023-10-16 20:18:24.000,141823
2023-10-16 20:18:25.000,141175
2023-10-16 20:18:26.000,145262
2023-10-16 20:18:27.000,141243
2023-10-16 20:18:28.000,141400
2023-10-16 20:18:29.000,144666
2023-10-16 20:18:30.000,132773
2023-10-16 20:18:31.000,140646
2023-10-16 20:18:32.000,142323
2023-10-16 20:18:33.000,142629
2023-10-16 20:18:34.000,430870
2023-10-16 20:18:35.000,3749618
2023-10-16 20:18:36.000,4278559
2023-10-16 20:18:37.000,3770713
2023-10-16 20:18:38.000,3278280
2023-10-16 20:18:39.000,2781243
2023-10-16 20:18:40.000,2263186
2023-10-16 20:18:41.000,1773899
2023-10-16 20:18:42.000,1289775
2023-10-16 20:18:43.000,776326
2023-10-16 20:18:44.000,283815
2023-10-16 20:18:45.000,146840
2023-10-16 20:18:46.000,146113
2023-10-16 20:18:47.000,146245
2023-10-16 20:18:48.000,147755
2023-10-16 20:18:49.000,148053
2023-10-16 20:18:50.000,146812
2023-10-16 20:18:51.000,144320
2023-10-16 20:18:52.000,145151
2023-10-16 20:18:53.000,142677
2023-10-16 20:18:54.000,141730
2023-10-16 20:18:55.000,142630
2023-10-16 20:18:56.000,150155
2023-10-16 20:18:57.000,148473
2023-10-16 20:18:58.000,143271
2023-10-16 20:18:59.000,137559
2023-10-16 20:19:00.000,135688
2023-10-16 20:19:01.000,144646
